CNPJ;Ano;Recebeu pelo INSS?;Competência;Apurado;;Status;Principal;Multa;Juros;Total;Data de vencimento;Data de recolhimento
51932361000107;2023;;Janeiro/2023;Não;;-;-;-;-;-;-
51932361000107;2023;;Fevereiro/2023;Não;;-;-;-;-;-;-
51932361000107;2023;;Março/2023;Não;;-;-;-;-;-;-
51932361000107;2023;;Abril/2023;Não;;-;-;-;-;-;-
51932361000107;2023;;Maio/2023;Não;;-;-;-;-;-;-
51932361000107;2023;;Junho/2023;Não;;-;-;-;-;-;-
51932361000107;2023;;Julho/2023;Não;;-;-;-;-;-;-
51932361000107;2023;;Agosto/2023;Sim;;-;-;-;-;-;-
51932361000107;2023;;Setembro/2023;Sim;;-;-;-;-;-;-
51932361000107;2023;;Outubro/2023;Sim;;-;-;-;-;-;-
51932361000107;2023;;Novembro/2023;Sim;;-;-;-;-;-;-
51932361000107;2023;;Dezembro/2023;Sim;;-;-;-;-;-;-
